A,B,C,D,E,F,G
4,14,15,20,28,7,9
9,30,34,38,48,2,3
1,17,22,29,31,5,6
26,36,43,47,49,4,7
6,21,23,31,39,1,5
6,15,21,34,48,1,5
6,13,15,20,40,2,8
5,14,35,40,47,1,3
11,16,22,34,46,2,5
6,8,42,49,50,3,5
4,14,15,20,28,7,9
9,30,34,38,48,2,3
1,17,22,29,31,5,6
26,36,43,47,49,4,7
6,21,23,31,39,1,5
6,15,21,34,48,1,5
6,13,15,20,40,2,8
5,14,35,40,47,1,3
11,16,22,34,46,2,5
6,8,42,49,50,3,5
16,23,30,37,41,2,9
7,8,12,21,43,4,11
17,18,40,43,50,9,11
13,28,29,31,47,8,9
14,24,29,45,48,3,9
23,24,38,42,44,1,10
14,24,31,44,45,7,11
8,18,26,38,39,4,12
3,8,10,31,36,2,3
5,13,43,45,50,1,10
21,29,31,46,49,5,6
9,11,13,15,25,4,9
1,13,16,23,27,10,11
14,18,20,39,42,6,9
2,5,11,27,38,10,12
8,40,41,46,47,3,11
2,16,22,28,46,4,8
12,21,23,26,41,5,6
1,35,36,38,39,3,10
6,12,25,31,37,6,9
3,17,19,32,38,6,7
2,9,38,40,44,5,11
10,16,34,36,49,3,7
3,9,11,20,39,2,3
7,16,22,38,41,5,9
14,16,24,40,43,1,5
2,4,12,31,50,6,8
11,15,17,24,46,2,11
9,18,20,40,41,3,9
19,21,23,36,39,5,12
3,14,23,41,43,2,6
7,10,13,34,47,5,9
2,3,18,23,39,6,8
9,18,30,34,48,1,7
5,19,33,36,42,7,12
11,29,32,46,47,5,7
8,13,24,35,46,6,8
5,7,21,22,29,3,10
8,9,11,13,50,6,11
2,8,16,21,39,4,5
1,3,29,45,47,5,8
1,2,11,14,36,2,3
1,5,8,20,35,3,12
28,30,31,45,46,4,8
10,27,30,32,34,5,8
6,11,29,34,39,2,3
17,18,30,33,35,6,8
11,12,13,23,26,11,12
4,8,9,30,35,6,7
12,21,24,28,40,1,3
5,13,16,41,45,3,6
16,28,31,35,42,2,10
7,11,20,21,29,6,11
5,19,33,37,42,7,9
16,28,32,36,48,5,10
1,15,19,24,33,7,8
10,11,31,37,44,5,12
6,12,36,37,44,1,11
6,21,23,26,43,3,9
8,13,16,44,47,6,8
5,18,21,29,45,1,6
9,16,32,34,48,2,6
6,17,22,39,46,5,12
4,11,12,16,42,3,5
1,18,37,46,48,3,7
6,20,27,38,49,3,9
1,5,12,18,20,6,7
13,20,34,38,43,3,6
5,12,15,21,39,3,4
1,2,6,14,45,2,7
3,10,20,36,42,8,10
10,15,25,37,46,7,12
1,7,17,44,50,2,10
20,21,30,41,43,10,11
4,9,29,34,37,3,12
9,16,17,27,31,1,9
1,12,15,31,47,9,10
6,11,16,35,44,2,6
7,14,34,41,49,4,9
9,16,27,41,45,1,4
14,28,31,47,50,7,12
28,29,31,37,50,4,5
3,37,45,47,50,5,10
28,33,34,37,44,4,11
9,34,35,42,44,6,11
6,11,26,43,49,5,8
9,14,15,20,47,8,12
3,13,33,36,47,3,11
6,8,13,21,32,3,6
8,12,37,44,47,7,10
