Date,Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today ,Direction
2018,0.099,1.847,0.773,0.647,0.027,8.2346,0.099,Up
2018,0.672,0.099,1.847,0.773,0.647,9.8204,0.672,Up
2018,-0.35,0.672,0.099,1.847,0.773,10.3176,-0.35,Down
2018,-2.917,-0.35,0.672,0.099,1.847,17.7986,-2.917,Down
2018,1.474,-2.917,-0.35,0.672,0.099,20.4185,1.474,Up
2018,-2.186,1.474,-2.917,-0.35,0.672,16.1019,-2.186,Down
2018,0.266,-2.186,1.474,-2.917,-0.35,15.1446,0.266,Up
2018,-1.319,0.266,-2.186,1.474,-2.917,12.1504,-1.319,Down
2018,-0.751,-1.319,0.266,-2.186,1.474,9.7977,-0.751,Down
2018,-0.431,-0.751,-1.319,0.266,-2.186,9.6663,-0.431,Down
2018,-0.947,-0.431,-0.751,-1.319,0.266,11.6961,-0.947,Down
2018,-1.557,-0.947,-0.431,-0.751,-1.319,16.5492,-1.557,Down
2018,-0.824,-1.557,-0.947,-0.431,-0.751,13.4515,-0.824,Down
2018,-1.532,-0.824,-1.557,-0.947,-0.431,21.4993,-1.532,Down
2018,-1.077,-1.532,-0.824,-1.557,-0.947,25.2053,-1.077,Down
2018,-2.448,-1.077,-1.532,-0.824,-1.557,25.5346,-2.448,Down
2018,-1.966,-2.448,-1.077,-1.532,-0.824,14.7312,-1.966,Down
2018,4.327,-1.966,-2.448,-1.077,-1.532,21.8485,4.327,Up
2018,2.267,4.327,-1.966,-2.448,-1.077,18.6267,2.267,Up
2018,-0.733,2.267,4.327,-1.966,-2.448,15.31,-0.733,Down
2018,0.144,-0.733,2.267,4.327,-1.966,14.4299,0.144,Up
2019,1.707,0.144,-0.733,2.267,4.327,12.6925,1.707,Up
2019,-1.619,1.707,0.144,-0.733,2.267,14.4141,-1.619,Down
2019,1.939,-1.619,1.707,0.144,-0.733,14.2629,1.939,Up
2019,0.669,1.939,-1.619,1.707,0.144,10.3139,0.669,Up
2019,-0.019,0.669,1.939,-1.619,1.707,10.2513,-0.019,Down
2019,0.159,-0.019,0.669,1.939,-1.619,9.5007,0.159,Up
2019,1.022,0.159,-0.019,0.669,1.939,9.6824,1.022,Up
2019,0.505,1.022,0.159,-0.019,0.669,7.3858,0.505,Up
2019,0.21,0.505,1.022,0.159,-0.019,7.0908,0.21,Up
2019,0.981,0.21,0.505,1.022,0.159,8.5208,0.981,Up
2019,0.058,0.981,0.21,0.505,1.022,7.7637,0.058,Up
2019,1.135,0.058,0.981,0.21,0.505,9.6118,1.135,Up
2019,0.559,1.135,0.058,0.981,0.21,12.79,0.559,Up
2019,-0.74,0.559,1.135,0.058,0.981,11.5531,-0.74,Down
2019,-0.227,-0.74,0.559,1.135,0.058,8.603,-0.227,Down
2019,0.129,-0.227,-0.74,0.559,1.135,5.9204,0.129,Up
2019,0.064,0.129,-0.227,-0.74,0.559,9.6883,0.064,Up
2019,0.14,0.064,0.129,-0.227,-0.74,8.5614,0.14,Up
2019,-0.193,0.14,0.064,0.129,-0.227,6.6136,-0.193,Down
2019,0.935,-0.193,0.14,0.064,0.129,9.2474,0.935,Up
2019,0.905,0.935,-0.193,0.14,0.064,10.4012,0.905,Up
2019,-0.033,0.905,0.935,-0.193,0.14,8.5783,-0.033,Down
2019,0.685,-0.033,0.905,0.935,-0.193,6.0745,0.685,Up
2019,0.242,0.685,-0.033,0.905,0.935,7.9553,0.242,Up
2019,-0.018,0.242,0.685,-0.033,0.905,5.8348,-0.018,Down
2019,-0.295,-0.018,0.242,0.685,-0.033,9.5482,-0.295,Down
2019,0.64,-0.295,-0.018,0.242,0.685,7.5789,0.64,Up
2019,-0.214,0.64,-0.295,-0.018,0.242,6.8021,-0.214,Down
2019,0.617,-0.214,0.64,-0.295,-0.018,7.227,0.617,Up
2019,-0.015,0.617,-0.214,0.64,-0.295,6.5277,-0.015,Down
2019,0.219,-0.015,0.617,-0.214,0.64,8.3234,0.219,Up
2019,0.365,0.219,-0.015,0.617,-0.214,9.7089,0.365,Up
2019,0.496,0.365,0.219,-0.015,0.617,5.9121,0.496,Up
2019,0.216,0.496,0.365,0.219,-0.015,7.6611,0.216,Up
2019,-0.101,0.216,0.496,0.365,0.219,6.4215,-0.101,Down
2019,0.37,-0.101,0.216,0.496,0.365,7.8115,0.37,Up
2019,-0.431,0.37,-0.101,0.216,0.496,6.9031,-0.431,Down
2019,0.068,-0.431,0.37,-0.101,0.216,5.6844,0.068,Up
2019,0.244,0.068,-0.431,0.37,-0.101,5.6922,0.244,Up
2019,-0.1,0.244,0.068,-0.431,0.37,6.9268,-0.1,Down
2019,-0.007,-0.1,0.244,0.068,-0.431,7.8881,-0.007,Down
2019,-0.781,-0.007,-0.1,0.244,0.068,10.6495,-0.781,Down
2019,-0.186,-0.781,-0.007,-0.1,0.244,5.9115,-0.186,Down
2019,-0.652,-0.186,-0.781,-0.007,-0.1,7.504,-0.652,Down
2019,-0.657,-0.652,-0.186,-0.781,-0.007,9.4885,-0.657,Down
2019,0.557,-0.657,-0.652,-0.186,-0.781,8.5796,0.557,Up
2019,1.155,0.557,-0.657,-0.652,-0.186,6.5099,1.155,Up
2019,0.154,1.155,0.557,-0.657,-0.652,7.9668,0.154,Up
2019,0.307,0.154,1.155,0.557,-0.657,8.0639,0.307,Up
